age,sex,age_sex,population,mx,pyld_rate,deaths_rate_ishd,ylds_rate_ishd,dw_adj_ishd,prevalence_ishd,deaths_rate_strk,ylds_rate_strk,dw_adj_strk,prevalence_strk,deaths_rate_copd,ylds_rate_copd,dw_adj_copd,prevalence_copd,deaths_rate_dmt2,ylds_rate_dmt2,dw_adj_dmt2,prevalence_dmt2,case_fatality_copd,incidence_copd,remission_copd,case_fatality_dmt2.x,incidence_dmt2.x,remission_dmt2.x,case_fatality_dmt2.y,incidence_dmt2.y,remission_dmt2.y,case_fatality_ishd.x,incidence_ishd.x,remission_ishd.x,case_fatality_ishd.y,incidence_ishd.y,remission_ishd.y
35,female,35_female,0,0,0.13972827790575904,0,2.825912321947697e-4,0,0,0,5.555519939542191e-4,0,0,0,2.976746700031135e-4,0,0,0,0.0030775879898745184,0,0,0.005477059920815924,3.9559850440777015e-4,0,0.0013397398664616732,0.0030742874829693383,0,0,0,0,0.011370729501665615,3.786376606289228e-4,0,0,0,0
36,female,36_female,0,0,0.14168509981514513,0,3.0203168082372825e-4,0,0,0,5.879161104042069e-4,0,0,0,3.133115983975282e-4,0,0,0,0.003371116373861666,0,0,0.005298553978104242,4.2809077525916297e-4,0,0.0013149946737026925,0.0032248709539788433,0,0,0,0,0.011166511136792005,3.9673619701064653e-4,0,0,0,0
37,female,37_female,1919232.3377070795,0,0.14358298926818083,0,3.220462896000001e-4,0,0,0,6.206931670431998e-4,0,0,0,3.314337236999998e-4,0,0,0,0.0036836036211344014,0,0,0.005127167588296936,4.653767763614445e-4,0,0.0012940305612509093,0.0033778847584170725,0,0,0,0,0.011002400181892871,4.1636915948796026e-4,0,0,0,0
38,female,38_female,0,0,0.14538884258616924,0,3.425923363554896e-4,0,0,0,6.529172111764548e-4,0,0,0,3.5205640582645263e-4,0,0,0,0.004016262910174784,0,0,0.004963125602166267,5.08017383214396e-4,0,0.0012752239108559092,0.0035328313967238146,0,0,0,0,0.010880888583953103,4.378743526431397e-4,0,0,0,0
39,female,39_female,0,0,0.14708920515334784,0,3.6391273735276823e-4,0,0,0,6.847867980533735e-4,0,0,0,3.7457051296764646e-4,0,0,0,0.004372147167729907,0,0,0.004795426681135683,5.572122558037151e-4,0,0.001258648202386475,0.0036853605026902483,0,0,0,0,0.010810253262822605,4.617299610097845e-4,0,0,0,0
40,female,40_female,0,0,0.14872591295501505,0,3.8596222298560465e-4,0,0,0,7.174569652388669e-4,0,0,0,3.9971104922131574e-4,0,0,0,0.004750282930664556,0,0,0.00463038982692741,6.13034107397801e-4,0,0.0012434603991843202,0.0038332301494972904,0,0,0,0,0.010792036578506206,4.883522343967228e-4,0,0,0,0
41,female,41_female,0,0,0.1503429589897998,0,4.086842788059778e-4,0,0,0,7.52327009648462e-4,0,0,0,4.283861363235326e-4,0,0,0,0.005149024098525511,0,0,0.004458457183113448,6.764804384171215e-4,0,0.0012287076694826133,0.003979269261983251,0,0,0,0,0.010834714890885439,5.181968256473608e-4,0,0,0,0
42,female,42_female,1804425.911836575,0,0.15198636858017692,0,4.320105123999999e-4,0,0,0,7.910699322000001e-4,0,0,0,4.617286257000001e-4,0,0,0,0.005565956235000001,0,0,0.004286729093508356,7.47835843358863e-4,0,0.0012147929256155184,0.0041192482737954705,0,0,0,0,0.010937495204643839,5.517295133820109e-4,0,0,0,0
43,female,43_female,0,0,0.1536523081721897,0,4.55553580712123e-4,0,0,0,8.345374474290758e-4,0,0,0,5.01347976328205e-4,0,0,0,0.006000607743015483,0,0,0.0041145072620933105,8.277921567527804e-4,0,0.0012013214305949971,0.004256062360233257,0,0,0,0,0.011107120336120213,5.898480891366601e-4,0,0,0,0
44,female,44_female,0,0,0.15530905812158272,0,4.7923104066693715e-4,0,0,0,8.8216150917457e-4,0,0,0,5.479015178870193e-4,0,0,0,0.006453651276130563,0,0,0.003945471901020781,9.177742642233173e-4,0,0.0011889877445160324,0.004389294393501393,0,0,0,0,0.011347504720933741,6.323044728457521e-4,0,0,0,0
45,female,45_female,0,0,0.1569625388289243,0,5.034976738987328e-4,0,0,0,9.336492476218774e-4,0,0,0,6.011295961899794e-4,0,0,0,0.006923469730967707,0,0,0.003782594952550485,0.0010174866560898705,0,0.0011772518713458182,0.0045191265936241525,0,0,0,0,0.011658888960405952,6.803320212333394e-4,0,0,0,0
46,female,46_female,0,0,0.15861894585967776,0,5.289124323848857e-4,0,0,0,9.885868241269577e-4,0,0,0,6.604313581863828e-4,0,0,0,0.0074080412022210565,0,0,0.0036250326723074166,0.0011277776358389836,0,0.0011677326838042449,0.004646384021927935,0,0,0,0,0.012044849044311178,7.341566534352845e-4,0,0,0,0
47,female,47_female,1563362.8649493193,0,0.16028475001965883,0,5.561482661808002e-4,0,0,0,0.0010464135415267002,0,0,0,7.247243074999999e-4,0,0,0,0.007904920557196998,0,0,0.0034772567655865227,0.001249147286935813,0,0.0011606562912974323,0.004772114738468317,0,0,0,0,0.012510114860180015,7.950899549385788e-4,0,0,0,0
48,female,48_female,0,0,0.16196859202174402,0,5.843113220911863e-4,0,0,0,0.0011070196413689945,0,0,0,7.95019205968593e-4,0,0,0,0.00840814614991917,0,0,0.0033413525069953855,0.0013815231839979347,0,0.0011570783147222309,0.004898163277810123,0,0,0,0,0.013051620465247181,8.632170236963141e-4,0,0,0,0
49,female,49_female,0,0,0.16366607895589005,0,6.129434849743456e-4,0,0,0,0.0011711055664667851,0,0,0,8.73335266107101e-4,0,0,0,0.008915440139849674,0,0,0.0032200764751016374,0.0015246881924780402,0,0.0011582118266952998,0.005025811479823881,0,0,0,0,0.013669591052703212,9.395742031192565e-4,0,0,0,0
50,female,50_female,0,0,0.16536392833460709,0,6.436938910003944e-4,0,0,0,0.0012392717365611716,0,0,0,9.594488666504534e-4,0,0,0,0.009430483953004836,0,0,0.003118187992992875,0.0016781772896121063,0,0.0011637705640721865,0.005157133050391593,0,0,0,0,0.014355877486632402,0.0010244820284135276,0,0,0,0
51,female,51_female,0,0,0.16704830717290298,0,6.785495537814601e-4,0,0,0,0.0013122236580081943,0,0,0,0.0010527833406484147,0,0,0,0.009958242304227682,0,0,0.003036621747239494,0.001843573008088615,0,0.0011751599200136955,0.005290393193768571,0,0,0,0,0.015116933867963433,0.0011189101201540472,0,0,0,0
52,female,52_female,1505839.3270158481,0,0.16870483764211527,0,7.199252130000004e-4,0,0,0,0.0013907883289999998,0,0,0,0.0011523154410193997,0,0,0,0.010505041600000002,0,0,0.0029765316068192894,0.002020812164335231,0,0.0011933426273442508,0.005428274037950222,0,0,0,0,0.0159505277549358,0.0012230327844456282,0,0,0,0
53,female,53_female,0,0,0.1703001668646525,0,7.697787363148326e-4,0,0,0,0.0014765408236168238,0,0,0,0.0012583879039333452,0,0,0,0.01106993512287615,0,0,0.0029373286477148647,0.0022091707609509445,0,0.0012189956902847817,0.005568117917676531,0,0,0,0,0.016844908571522505,0.0013371002316602282,0,0,0,0
54,female,54_female,0,0,0.17184149736924723,0,8.280251848919271e-4,0,0,0,0.001569882334057165,0,0,0,0.0013722794145128875,0,0,0,0.011647123459007888,0,0,0.0029242199929995424,0.0024090918528897557,0,0.0012528211837205543,0.005707174661388504,0,0,0,0,0.017801120004399235,0.001461939760447873,0,0,0,0
55,female,55_female,0,0,0.17337623965254995,0,8.942659018859498e-4,0,0,0,0.0016697324259323792,0,0,0,0.0014938674665778803,0,0,0,0.012236855630531429,0,0,0.0029372748001761442,0.002622003579296527,0,0.001295998181161003,0.005843740029715883,0,0,0,0,0.018813542161597814,0.00159781652305332,0,0,0,0
56,female,56_female,0,0,0.17495356041071763,0,9.677911940171984e-4,0,0,0,0.0017746213766191424,0,0,0,0.0016228550996403967,0,0,0,0.012839549831634964,0,0,0.0029759485964273233,0.00284653253290625,0,0.0013487209438463382,0.005972709307932707,0,0,0,0,0.019864713557784387,0.0017451249460826248,0,0,0,0
57,female,57_female,1455194.7624273472,0,0.1766244343948312,0,0.0010474538808442997,0,0,0,0.001882627931999999,0,0,0,0.001758742351,0,0,0,0.013455808920000005,0,0,0.003043605376168262,0.0030858110598361572,0,0.001412703739874722,0.006090023981155948,0,0,0,0,0.02096321490270829,0.0019035788354956147,0,0,0,0
